time,pm1_pm10,pm1_pm25,pm2_pm10,pm2_pm25,temperature,humidity
02/09/2021 00:57:19,8,8,3,3,14.9,68.8
02/09/2021 01:24:14,10,9,4,4,15.0,68.9
02/09/2021 01:32:24,9,9,4,4,15.0,69.5
02/09/2021 01:53:06,9,9,4,4,15.1,69.9
02/09/2021 02:03:37,11,11,5,5,15.1,65.9
02/09/2021 02:20:26,11,11,4,4,15.1,66.8
02/09/2021 02:30:30,11,10,4,4,15.1,68.6
02/09/2021 02:52:15,10,9,4,4,15.1,69.4
02/09/2021 03:03:12,9,9,4,4,15.1,69.4
02/09/2021 03:19:56,9,9,4,4,15.1,70.7
02/09/2021 03:30:14,8,8,3,3,15.2,70.4
02/09/2021 03:42:54,8,8,3,3,15.2,69.2
02/09/2021 04:09:36,7,7,3,3,15.1,66.3
02/09/2021 04:17:34,9,8,4,4,15.3,65.9
02/09/2021 04:29:05,15,13,8,7,15.7,69.1
02/09/2021 04:48:59,12,11,6,6,16.0,68.9
02/09/2021 05:05:26,12,10,5,5,16.0,68.5
02/09/2021 05:18:43,9,8,4,4,15.9,67.3
02/09/2021 05:29:53,8,7,3,3,15.8,66.9
02/09/2021 05:42:43,8,7,3,3,15.6,67.1
02/09/2021 06:09:30,7,7,3,3,15.5,67.5
02/09/2021 06:19:18,7,6,3,3,15.3,67.6
02/09/2021 06:35:29,7,6,3,3,15.2,68.2
02/09/2021 06:45:31,7,6,3,3,15.1,68.7
02/09/2021 06:58:02,7,6,3,3,15.0,69.3
02/09/2021 07:24:33,6,6,3,3,14.9,70.0
02/09/2021 07:32:31,7,6,3,3,14.8,69.9
02/09/2021 07:46:55,6,5,3,3,14.7,71.1
02/09/2021 08:08:03,6,6,2,2,14.6,71.3
02/09/2021 08:16:47,6,5,3,3,14.5,71.6
02/09/2021 08:28:38,6,5,2,2,14.4,71.2
02/09/2021 08:42:03,5,4,2,2,14.4,71.5
02/09/2021 08:56:16,5,4,2,2,14.3,71.4
02/09/2021 09:23:44,5,4,2,2,14.3,73.5
02/09/2021 09:32:06,4,4,2,2,14.3,75.0
02/09/2021 09:52:53,5,4,2,2,14.4,75.0
02/09/2021 10:01:45,8,7,3,3,14.3,65.8
02/09/2021 10:13:42,12,12,3,3,13.8,60.0
02/09/2021 10:27:08,8,7,3,3,13.5,58.2
02/09/2021 10:54:06,7,7,3,3,13.3,57.0
02/09/2021 11:03:35,6,6,4,4,13.1,55.5
02/09/2021 11:14:46,6,6,3,3,13.1,61.3
02/09/2021 11:33:51,5,4,2,2,13.2,64.9
02/09/2021 11:44:44,5,4,2,2,13.3,65.6
02/09/2021 12:06:42,6,5,2,2,13.4,66.3
02/09/2021 12:17:59,18,17,2,2,13.5,66.5
02/09/2021 12:34:41,19,18,2,2,13.5,66.9
02/09/2021 12:50:39,15,15,2,2,13.5,67.4
02/09/2021 13:00:34,11,11,2,2,13.5,68.0
02/09/2021 13:12:59,4,3,2,2,13.5,68.3
02/09/2021 13:39:35,3,3,2,2,13.4,68.6
02/09/2021 13:47:33,4,4,2,2,13.4,69.1
02/09/2021 13:59:02,7,7,2,2,13.4,69.2
02/09/2021 14:12:17,8,8,2,2,13.4,69.3
02/09/2021 14:33:55,3,3,2,2,13.4,69.6
02/09/2021 14:44:43,4,3,2,2,13.4,70.0
02/09/2021 15:06:41,3,3,2,2,13.5,70.2
02/09/2021 15:17:56,3,3,2,2,13.5,70.7
02/09/2021 15:34:39,3,3,1,1,13.5,71.0
02/09/2021 15:50:35,3,3,1,1,13.5,71.3
02/09/2021 16:00:30,3,3,1,1,13.5,71.2
02/09/2021 16:12:57,3,2,1,1,13.5,71.0
02/09/2021 16:33:53,3,2,1,1,13.5,71.1
02/09/2021 16:44:43,2,2,1,1,13.5,71.2
02/09/2021 17:06:39,3,2,1,1,13.5,71.8
02/09/2021 17:17:55,2,2,1,1,13.4,72.8
02/09/2021 17:34:37,2,2,1,1,13.4,73.4
02/09/2021 17:50:34,2,2,1,1,13.3,73.7
02/09/2021 18:00:28,2,2,1,1,13.2,73.8
02/09/2021 18:12:56,2,2,1,1,13.2,74.2
02/09/2021 18:39:34,2,2,1,1,13.2,73.7
02/09/2021 18:47:29,3,2,1,1,13.2,71.0
02/09/2021 18:58:58,3,3,2,2,13.2,68.7
02/09/2021 19:12:12,3,3,2,2,13.2,70.1
02/09/2021 19:33:55,4,3,2,2,13.3,71.5
02/09/2021 19:44:43,4,3,2,2,13.4,69.7
02/09/2021 20:01:58,4,3,2,2,13.4,69.0
02/09/2021 20:23:01,4,3,2,2,13.5,70.4
02/09/2021 20:31:45,4,4,2,2,13.5,68.1
02/09/2021 20:52:49,4,4,2,2,13.5,68.3
02/09/2021 21:03:38,5,4,2,2,13.6,70.4
02/09/2021 21:18:44,4,3,2,2,13.7,70.9
02/09/2021 21:31:52,4,4,2,2,13.7,71.2
02/09/2021 21:48:47,4,3,2,2,13.7,71.1
02/09/2021 22:03:44,4,3,2,2,13.8,71.0
02/09/2021 22:14:45,4,3,2,2,13.8,71.4
02/09/2021 22:33:50,4,3,2,2,13.8,71.5
